rating,date,review,reviewer,raw_review,normalized_review,cleaned_review,review_length,word_count,review_length_log1p,is_long_review,year,month,day,weekday,hour,is_weekend,time_period,is_positive,is_negative,rating_centered,site,text_svd_01,text_svd_02,text_svd_03,text_svd_04,text_svd_05,text_svd_06,text_svd_07,text_svd_08,text_svd_09,text_svd_10,tfidf_nonzero_count
10,2022-12-18 09:52:00,2만원에 외계 행성 여행이면 저렴하네요,adio****,2만원에 외계 행성 여행이면 저렴하네요,2만원에 외계 행성 여행이면 저렴하네요,2만원에 외계 행성 여행이면 저렴하네요,21,5,3.091042453358316,0,2022,12,18,Sunday,9,1,morning,1,0,1.1059999999999999,naver,0.0026678841646145053,0.004006451867827965,1.6300033116619e-05,-0.0010072848550452319,0.001213827894232297,0.011047395307232026,0.004334278030432222,0.00030242794567074437,-0.022292191008714785,-0.0023259110742705094,2
10,2022-12-14 12:11:00,평점 개판났네..최소 9.5점짜리입니다,taey****,평점 개판났네..최소 9.5점짜리입니다,평점 개판났네..최소 9.5점짜리입니다,평점 개판났네 최소 9 5점짜리입니다,21,5,3.091042453358316,0,2022,12,14,Wednesday,12,0,afternoon,1,0,1.1059999999999999,naver,0.005209598308896583,0.005684237492393183,-0.004508597312698744,-0.004950075193197265,0.002469034477614171,0.0015989054557651913,-0.00873814796863227,0.002511686935707077,-0.008542351399150688,0.021661100440773604,2
8,2022-12-15 11:41:00,영화본다고 생각하지말고 외계 아쿠아리움 구경한다고 생각하고 보세요,appl****,영화본다고 생각하지말고 외계 아쿠아리움 구경한다고 생각하고 보세요,영화본다고 생각하지말고 외계 아쿠아리움 구경한다고 생각하고 보세요,영화본다고 생각하지말고 외계 아쿠아리움 구경한다고 생각하고 보세요,36,7,3.6109179126442243,0,2022,12,15,Thursday,11,0,morning,1,0,-0.8940000000000001,naver,0.01871610326306353,0.018596095177067125,-0.00044217280811099805,0.0026261067945283064,0.0048037866167767364,0.010468553153893893,0.010026829383488846,-0.01751351522004897,-0.05814149038917817,0.04046989065853561,4
10,2022-12-18 16:09:00,왜 자꾸 cg가 대단하다고 뻥치는지 모르겠다이건 그냥 판도라 행성 가서 찍은거잖아,una5****,왜 자꾸 cg가 대단하다고 뻥치는지 모르겠다이건 그냥 판도라 행성 가서 찍은거잖아,왜 자꾸 cg가 대단하다고 뻥치는지 모르겠다이건 그냥 판도라 행성 가서 찍은거잖아,왜 자꾸 cg가 대단하다고 뻥치는지 모르겠다이건 그냥 판도라 행성 가서 찍은거잖아,45,11,3.828641396489095,0,2022,12,18,Sunday,16,1,afternoon,1,0,1.1059999999999999,naver,0.04451108575774041,0.04944485238372481,0.0067685138112323715,-0.010580740016249417,0.019297477205127138,0.12327184971775146,0.018052899648764855,0.03701796909716147,-0.1641876051816999,-0.07036667817250028,6
10,2022-12-14 13:07:00,영상미 하나만으로도 충분히 볼 가치가있다,riti****,영상미 하나만으로도 충분히 볼 가치가있다,영상미 하나만으로도 충분히 볼 가치가있다,영상미 하나만으로도 충분히 볼 가치가있다,22,5,3.1354942159291497,0,2022,12,14,Wednesday,13,0,afternoon,1,0,1.1059999999999999,naver,0.15296638980798166,0.340324307087969,-0.15191839068582402,-0.019884816221186083,-0.3618044140941948,-0.07112065756870213,-0.1342150608506378,-0.04394116189483922,0.004866796399309672,-0.07887262318476683,2
9,2022-12-17 11:19:00,"자식들은 말 안듣고, 툴쿤이 제일 말 잘 듣네",norm****,"자식들은 말 안듣고, 툴쿤이 제일 말 잘 듣네","자식들은 말 안듣고, 툴쿤이 제일 말 잘 듣네",자식들은 말 안듣고 툴쿤이 제일 말 잘 듣네,25,8,3.258096538021482,0,2022,12,17,Saturday,11,1,morning,1,0,0.10599999999999987,naver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,2022-12-14 19:46:00,스토리가 새로운 영화는 아닙니다. 하지만 아바타 세계관에 집중할 수 있도록 스토리를 만들었으며 보여지는 장면 하나하나가 너무 알차고 경이롭습니다.   새로운 재미보다 아바타 세상에 체험한다는 시점으로 영화를 관람하면 더 재밌을 것 같습니다.,gosi****,스토리가 새로운 영화는 아닙니다. 하지만 아바타 세계관에 집중할 수 있도록 스토리를 만들었으며 보여지는 장면 하나하나가 너무 알차고 경이롭습니다.   새로운 재미보다 아바타 세상에 체험한다는 시점으로 영화를 관람하면 더 재밌을 것 같습니다.,스토리가 새로운 영화는 아닙니다. 하지만 아바타 세계관에 집중할 수 있도록 스토리를 만들었으며 보여지는 장면 하나하나가 너무 알차고 경이롭습니다. 새로운 재미보다 아바타 세상에 체험한다는 시점으로 영화를 관람하면 더 재밌을 것 같습니다.,스토리가 새로운 영화는 아닙니다 하지만 아바타 세계관에 집중할 수 있도록 스토리를 만들었으며 보여지는 장면 하나하나가 너무 알차고 경이롭습니다 새로운 재미보다 아바타 세상에 체험한다는 시점으로 영화를 관람하면 더 재밌을 것 같습니다,132,30,4.890349128221754,0,2022,12,14,Wednesday,19,0,evening,1,0,1.1059999999999999,naver,0.19057594811207326,0.16711710192817422,0.2738317098838433,0.046082825741693104,0.10068794521343437,-0.008703686076037833,0.0204530855659553,0.0009209963777841896,-0.00611113825894241,-0.0306364163852827,11
10,2022-12-14 14:12:00,CG미쳤다 바다 물멍 잘하고 갑니다,makz****,CG미쳤다 바다 물멍 잘하고 갑니다,CG미쳤다 바다 물멍 잘하고 갑니다,cg미쳤다 바다 물멍 잘하고 갑니다,19,5,2.995732273553991,0,2022,12,14,Wednesday,14,0,afternoon,1,0,1.1059999999999999,naver,0.026748549744454165,-0.0020667862848124906,-0.004813751358279664,-0.016279595035031482,0.015544573604946571,0.02679061074773348,0.007162214641375044,0.01054665945777765,-0.01212953045340696,0.01779710721037618,2
10,2022-12-14 13:43:00,3D 안경 착용하고 3시간 길이의 영화를 보는 건  버겁지만 바닷 속 시각적인 디테일과 환경 보존에 대한 메세지를 잘 전달한 영화.,ghks****,3D 안경 착용하고 3시간 길이의 영화를 보는 건  버겁지만 바닷 속 시각적인 디테일과 환경 보존에 대한 메세지를 잘 전달한 영화.,3D 안경 착용하고 3시간 길이의 영화를 보는 건 버겁지만 바닷 속 시각적인 디테일과 환경 보존에 대한 메세지를 잘 전달한 영화.,3d 안경 착용하고 3시간 길이의 영화를 보는 건 버겁지만 바닷 속 시각적인 디테일과 환경 보존에 대한 메세지를 잘 전달한 영화,72,20,4.290459441148391,0,2022,12,14,Wednesday,13,0,afternoon,1,0,1.1059999999999999,naver,0.23873877881901281,-0.11017779478440637,-0.02572665367838684,-0.11345317094377538,0.007452797786464269,0.09081639659779649,0.013615758370290993,0.02864042897636682,0.020661253931366707,0.051514783611777075,8
10,2022-12-18 18:16:00,역시 타노스가 옳았고 인간은 정도를 모른다,kshy****,역시 타노스가 옳았고 인간은 정도를 모른다,역시 타노스가 옳았고 인간은 정도를 모른다,역시 타노스가 옳았고 인간은 정도를 모른다,23,6,3.1780538303479458,0,2022,12,18,Sunday,18,1,evening,1,0,1.1059999999999999,naver,0.026591050282031986,0.026132213047258025,0.10072505936238797,0.03166089754928379,-0.02008448173460957,0.013512862406880318,0.08403770680618088,-0.26781295231417335,-0.13646620911160018,0.155268166115172,2
